,Country Name,Year,Value
642,Malawi,1990,0.531729996
643,Malaysia,1990,7.1897301670000004
644,Mali,1990,0.657670021
645,Malta,1990,10.38504028
646,Mauritania,1990,3.025160074
647,Mauritius,1990,3.0411698819999997
648,Mongolia,1990,18.19734955
649,Mozambique,1990,
650,Myanmar,1990,5.038169861
651,Nepal,1990,5.220399857
652,Netherlands,1990,35.146541600000006
653,New Zealand,1990,39.37844086
654,Nicaragua,1990,7.727320194
655,Niger,1990,0.7413300279999999
656,Nigeria,1990,
657,Norway,1990,38.3710289
658,Oman,1990,4.12278986
659,Panama,1990,20.9908905
660,Papua New Guinea,1990,
661,Paraguay,1990,8.335590363
662,Peru,1990,30.12070084
663,Philippines,1990,24.58946037
664,Poland,1990,20.38055992
665,Portugal,1990,20.01486969
666,Qatar,1990,20.19857979
667,Romania,1990,8.406990051000001
668,Russian Federation,1990,
669,Rwanda,1990,
670,Saudi Arabia,1990,
671,Senegal,1990,
672,Sierra Leone,1990,
673,Slovenia,1990,
674,Spain,1990,
675,Sri Lanka,1990,
676,St. Kitts and Nevis,1990,
677,St. Lucia,1990,
678,Suriname,1990,
679,Swaziland,1990,
680,Sweden,1990,
681,Switzerland,1990,
682,Syrian Arab Republic,1990,
683,Tanzania,1990,
684,Thailand,1990,
685,Tonga,1990,
686,Trinidad and Tobago,1990,
687,Tunisia,1990,
688,Turkey,1990,
689,Uganda,1990,
690,Ukraine,1990,
691,United Arab Emirates,1990,
692,United Kingdom,1990,
693,United States,1990,
694,"Venezuela, RB",1990,
695,Zimbabwe,1990,
696,Albania,1991,8.859930038
697,Argentina,1991,38.22399902
698,Australia,1991,38.01018143
699,Austria,1991,34.73540878
700,"Bahamas, The",1991,
701,Bahrain,1991,17.22944069
702,Bangladesh,1991,
703,Barbados,1991,26.12435913
704,Belarus,1991,47.65230179
705,Belgium,1991,39.91775131
706,Benin,1991,2.420840025
707,Botswana,1991,4.185070038
708,Bulgaria,1991,31.03787041
709,Burkina Faso,1991,0.7009800079999999
710,Burundi,1991,0.787150025
711,Cambodia,1991,0.747590005
712,Cameroon,1991,3.156830072
713,Central African Republic,1991,1.4903199669999998
714,Chad,1991,
715,Chile,1991,20.88331985
716,China,1991,2.93091011
717,Colombia,1991,14.69287968
718,"Congo, Dem. Rep.",1991,2.501909971
719,"Congo, Rep.",1991,4.812679768
720,Costa Rica,1991,28.877180100000004
721,Cote d'Ivoire,1991,
722,Cuba,1991,21.16641998
723,Cyprus,1991,10.12467003
724,Czech Republic,1991,16.07747078
725,Denmark,1991,36.48846054
726,Dominica,1991,5.887989997999999
727,Ecuador,1991,19.95830917
728,"Egypt, Arab Rep.",1991,12.6208601
729,El Salvador,1991,17.35811996
730,Fiji,1991,11.79102039
731,Finland,1991,48.92792892
732,France,1991,39.48389816
733,Greece,1991,36.33464813
734,Guatemala,1991,
